msgId,timestamp,error,modeCode,channel,connType,sa,ssa,da,dsa,wc,modeCodeVal,txRsp,txSts,rxRsp,rxSts,dw0,dw1,dw2,dw3,dw4,dw5,dw6,dw7,dw8,dw9,dw10,dw11,dw12,dw13,dw14,dw15,dw16,dw17,dw18,dw19,dw20,dw21,dw22,dw23,dw24,dw25,dw26,dw27,dw28,dw29,dw30,dw31,malicious,injected,gap,msgTime
1,1134.816478225,false,true,A,BC->RT,N/A,N/A,01,00,N/A,17,N/A,N/A,8.5,0x0800,0x0001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,N/A,65
2,1134.816557225,false,true,A,BC->RT,N/A,N/A,02,00,N/A,17,N/A,N/A,8.5,0x1000,0x0001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
3,1134.816636225,false,true,A,BC->RT,N/A,N/A,03,00,N/A,17,N/A,N/A,8.5,0x1800,0x0001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
4,1134.816715225,false,true,A,BC->RT,N/A,N/A,04,00,N/A,17,N/A,N/A,8.5,0x2000,0x0001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
5,1134.816879225,false,false,A,BC->RT,N/A,N/A,01,20,01,N/A,N/A,N/A,8.5,0x0800,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,99,65
6,1134.816958225,false,false,A,BC->RT,N/A,N/A,03,20,01,N/A,N/A,N/A,8.5,0x1800,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
7,1134.817037225,false,false,A,RT->BC,04,05,N/A,N/A,01,N/A,8.5,0x2000,N/A,N/A,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
8,1134.817116225,false,false,A,RT->BC,01,30,N/A,N/A,32,N/A,8.5,0x0800,N/A,N/A,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,false,false,14,685
9,1134.817815225,false,false,A,BC->RT,N/A,N/A,03,02,02,N/A,N/A,N/A,8.5,0x1800,0x0000,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,85
10,1134.817914225,true,false,A,RT->RT,01,01,03,01,09,N/A,0.0,0x0000,8.5,0x0800,0x1F40,0x0000,0x0250,0x0154,0x6666,0x4242,0x0000,0x42F6,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,245
